Date,SPX,D,E,CPI,Date_Fraction,10y UST,SPX_real,Div_Real, SPX_TR_Real ,E_Real,CAPE,,,,
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,115.42,6.76, 115.42 ,10.40,NA,,,,
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,113.51,6.56, 114.06 ,10.09,NA,,,,
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,114.59,6.46, 115.68 ,9.94,NA,,,,
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,122.28,6.71, 124.01 ,10.32,NA,,,,
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,128.29,6.86, 130.69 ,10.56,NA,,,,
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,129.24,6.97, 132.25 ,10.73,NA,,,,
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,126.83,6.97, 130.37 ,10.73,NA,,,,
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,130.49,7.08, 134.74 ,10.90,NA,,,,
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,128.76,6.92, 133.56 ,10.64,NA,,,,
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,120.23,6.81, 125.30 ,10.48,NA,,,,
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,121.54,6.81, 127.25 ,10.48,NA,,,,
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,121.36,6.66, 127.64 ,10.24,NA,,,,
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,124.44,6.74, 131.47 ,10.31,NA,,,,
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,124.95,6.83, 132.61 ,10.37,NA,,,,
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,127.13,6.81, 135.53 ,10.28,NA,,,,
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,127.82,6.74, 136.87 ,10.12,NA,,,,
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,127.82,6.83, 137.48 ,10.18,NA,,,,
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,127.51,6.96, 137.77 ,10.32,NA,,,,
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,128.65,7.15, 139.63 ,10.53,NA,,,,
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,126.20,7.18, 137.62 ,10.52,NA,,,,
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,123.04,7.21, 134.84 ,10.50,NA,,,,
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,126.30,7.45, 139.09 ,10.80,NA,,,,
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,122.15,7.32, 135.19 ,10.55,NA,,,,
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,126.95,7.51, 141.20 ,10.77,NA,,,,
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,127.95,7.57, 143.01 ,10.83,NA,,,,
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,126.17,7.47, 141.72 ,10.66,NA,,,,
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,125.19,7.53, 141.32 ,10.72,NA,,,,
