Date,SPX,D,E,CPI,Date_Fraction,GS10,SPX_real,Div_Real,SPX_TR_Real,E_Real,CAPE,SPX_TR,Bond_10y_TR_monthly,Bond_10y_TR
1871-01-31,4.44,0.26,0.4,12.46,1871.04,5.32,115.42,6.76,115.42,10.4,,1438.1332000000002,1.004384981207988,1.004384981207988
1871-02-28,4.5,0.26,0.4,12.84,1871.13,5.32,113.51,6.56,114.06,10.09,,1464.5304,1.0036223167878762,1.0080231817869083
1871-03-31,4.61,0.26,0.4,13.03,1871.21,5.33,114.59,6.46,115.68,9.94,,1507.3104,1.0043931340474506,1.0124515627474358
1871-04-30,4.74,0.26,0.4,12.56,1871.29,5.33,122.28,6.71,124.01,10.32,,1557.5656000000001,1.0043931340474506,1.016899398179136
1871-05-31,4.86,0.26,0.4,12.27,1871.38,5.33,128.29,6.86,130.69,10.56,,1603.5663,1.0036308244148835,1.0205915813415252
1871-06-30,4.82,0.26,0.4,12.08,1871.46,5.34,129.24,6.97,132.25,10.73,,1597.58,1.0044012865560399,1.0250834973476912
1871-07-31,4.73,0.26,0.4,12.08,1871.54,5.34,126.83,6.97,130.37,10.73,,1574.8696,1.0044012865560399,1.0295951835633859
1871-08-31,4.79,0.26,0.4,11.89,1871.63,5.34,130.49,7.08,134.74,10.9,,1602.0586000000003,1.0036393314702625,1.0333422217165589
1871-09-30,4.84,0.26,0.4,12.18,1871.71,5.35,128.76,6.92,133.56,10.64,,1626.7608,1.0044094387337785,1.0378986809342445
1871-01-31,4.59,0.26,0.4,12.37,1871.79,5.35,120.23,6.81,125.3,10.48,,1549.9609999999998,1.0044094387337785,1.0424752315796937
1871-11-30,4.64,0.26,0.4,12.37,1871.88,5.35,121.54,6.81,127.25,10.48,,1574.0825,1.003647837954245,1.0462780122958104
1871-12-31,4.74,0.26,0.4,12.65,1871.96,5.36,121.36,6.66,127.64,10.24,,1614.646,1.0044175905807027,1.0509000401877246
1872-01-31,4.86,0.26,0.4,12.65,1872.04,5.36,124.44,6.74,131.47,10.31,,1663.0955000000001,1.0028958051356012,1.0539432419211037
1872-02-29,4.88,0.27,0.41,12.65,1872.13,5.38,124.95,6.83,132.61,10.37,,1677.5165000000002,1.0029135217005247,1.0570139284275621
1872-03-31,5.04,0.27,0.41,12.84,1872.21,5.4,127.13,6.81,135.53,10.28,,1740.2052,1.00293123502591,1.0601122846774438
1872-04-30,5.18,0.27,0.41,13.13,1872.29,5.42,127.82,6.74,136.87,10.12,,1797.1031000000003,1.0037073673617798,1.0640425103614788
1872-05-31,5.18,0.28,0.41,13.13,1872.38,5.43,127.82,6.83,137.48,10.18,,1805.1124,1.002957798947168,1.067189734178368
1872-06-30,5.13,0.28,0.42,13.03,1872.46,5.45,127.51,6.96,137.77,10.32,,1795.1431,1.002975504188331,1.0703651617021597
1872-07-31,5.1,0.28,0.42,12.84,1872.54,5.47,128.65,7.15,139.63,10.53,,1792.8491999999999,1.00299320620164,1.073568985342186
1872-08-31,5.04,0.29,0.42,12.94,1872.63,5.49,126.2,7.18,137.62,10.52,,1780.8028,1.0030109049904201,1.076801399557713
1872-09-30,4.95,0.29,0.42,13.03,1872.71,5.51,123.04,7.21,134.84,10.5,,1756.9651999999999,1.0030286005579914,1.0800626008772594
